[192.168.211.1] VLC02CK001.vlc.ucasip.es
[192.168.211.2] VLC02CK002.vlc.ucasip.es
[192.168.211.3] VLC02CK003.vlc.ucasip.es
[192.168.211.4] VLC02CK004.vlc.ucasip.es
[192.168.211.5] VLC02CK005.vlc.ucasip.es
[192.168.211.6] VLC02CK006.vlc.ucasip.es
[192.168.211.7] VLC02CK007.vlc.ucasip.es
[192.168.211.8] VLC02CK008.vlc.ucasip.es
[192.168.211.9] VLC02CK009.vlc.ucasip.es
[192.168.211.10] VLC02CK010.vlc.ucasip.es
[192.168.211.11] VLC02CK011.vlc.ucasip.es
[192.168.211.12] VLC02CK012.vlc.ucasip.es
[192.168.211.13] VLC01CK013.vlc.ucasip.es
[192.168.211.14] VLC01CK014.vlc.ucasip.es
[192.168.211.15] VLC01CK015.vlc.ucasip.es
[192.168.211.16] VLC01CK016.vlc.ucasip.es
[192.168.211.17] VLC01CK017.vlc.ucasip.es
[192.168.211.18] VLC01CK018.vlc.ucasip.es
[192.168.211.19] VLC01CK019.vlc.ucasip.es
[192.168.211.20] VLC01CK020.vlc.ucasip.es
[192.168.211.21] VLC01CK021.vlc.ucasip.es
[192.168.211.22] VLC01CK022.vlc.ucasip.es
[192.168.211.23] VLC01CK023.vlc.ucasip.es
[192.168.211.24] VLC01CK024.vlc.ucasip.es
[192.168.211.25] VLC01CK025.vlc.ucasip.es
[192.168.211.26] VLC01CK026.vlc.ucasip.es
[192.168.211.27] VLC01CK027.vlc.ucasip.es
[192.168.211.28] VLC01CK028.vlc.ucasip.es
[192.168.211.29] VLC01CK029.vlc.ucasip.es
[192.168.211.30] VLC01CK030.vlc.ucasip.es
[192.168.211.31] VLC01CK031.vlc.ucasip.es
[192.168.211.32] VLC01CK032.vlc.ucasip.es
[192.168.211.33] VLC01CK033.vlc.ucasip.es
[192.168.211.34] VLC01CK034.vlc.ucasip.es
[192.168.211.35] VLC01CK035.vlc.ucasip.es
[192.168.211.36] VLC01CK036.vlc.ucasip.es
[192.168.211.37] VLC01CK037.vlc.ucasip.es
[192.168.211.38] VLC01CK038.vlc.ucasip.es
[192.168.211.39] VLC01CK039.vlc.ucasip.es
[192.168.211.40] VLC01CK040.vlc.ucasip.es
[192.168.211.41] VLC01CK041.vlc.ucasip.es
[192.168.211.42] VLC01CK042.vlc.ucasip.es
[192.168.211.43] VLC03CK043.vlc.ucasip.es
[192.168.211.44] VLC03CK044.vlc.ucasip.es
[192.168.211.45] VLC03CK045.vlc.ucasip.es
[192.168.211.46] VLC03CK046.vlc.ucasip.es
[192.168.211.47] VLC03CK047.vlc.ucasip.es
[192.168.211.48] VLC03CK048.vlc.ucasip.es
[192.168.211.49] VLC03CK049.vlc.ucasip.es
[192.168.211.50] VLC03CK050.vlc.ucasip.es
[192.168.211.51] VLC03CK051.vlc.ucasip.es
[192.168.211.52] VLC03CK052.vlc.ucasip.es
[192.168.211.53] VLC03CK053.vlc.ucasip.es
[192.168.211.54] VLC03CK054.vlc.ucasip.es
[192.168.211.55] VLC03CK055.vlc.ucasip.es
[192.168.211.56] VLC03CK056.vlc.ucasip.es
[192.168.211.57] VLC03CK057.vlc.ucasip.es
[192.168.211.58] VLC03CK058.vlc.ucasip.es
[192.168.211.59] VLC03CK059.vlc.ucasip.es
[192.168.211.60] VLC03CK060.vlc.ucasip.es
[192.168.211.61] VLC03CK061.vlc.ucasip.es
[192.168.211.62] VLC03CK062.vlc.ucasip.es
[192.168.211.119] VLC02GTTAG.vlc.ucasip.es
[192.168.211.120] VLC02GTN1A.vlc.ucasip.es
[192.168.211.121] VLC02GTN1B.vlc.ucasip.es
[192.168.211.122] VLC02GTN02.vlc.ucasip.es
[192.168.211.123] VLC02GTN03.vlc.ucasip.es
[192.168.211.124] VLC02GTN04.vlc.ucasip.es
[192.168.211.125] VLC01GTN05.vlc.ucasip.es
[192.168.211.126] VLC01GTN06.vlc.ucasip.es
[192.168.211.127] VLC01GTN07.vlc.ucasip.es
[192.168.211.128] VLC01GTN08.vlc.ucasip.es
[192.168.211.129] VLC01GTN09.vlc.ucasip.es
[192.168.211.130] VLC01GTN10.vlc.ucasip.es
[192.168.211.131] VLC01GTN11.vlc.ucasip.es
[192.168.211.132] VLC01GTN12.vlc.ucasip.es
[192.168.211.133] VLC0RGTN13.vlc.ucasip.es
[192.168.211.134] VLC0RGTN14.vlc.ucasip.es
[192.168.211.135] VLC0RGTN15.vlc.ucasip.es
[192.168.211.136] VLC0RGTN16.vlc.ucasip.es
[192.168.211.137] VLC0RGTN17.vlc.ucasip.es
[192.168.211.138] VLC0RGTN18.vlc.ucasip.es
[192.168.211.139] VLC0RGTN19.vlc.ucasip.es
[192.168.211.140] VLC0RGTN20.vlc.ucasip.es
[192.168.211.141] VLC0RGTN21.vlc.ucasip.es
[192.168.211.142] VLC0RGTN22.vlc.ucasip.es
[192.168.211.201] VLC01TDT01.vlc.ucasip.es
[192.168.211.202] VLC01TDT02.vlc.ucasip.es
[192.168.211.203] VLC01TDT03.vlc.ucasip.es
[192.168.211.204] VLC01TDT04.vlc.ucasip.es
[192.168.211.205] VLC02TDT05.vlc.ucasip.es
[192.168.211.206] VLC01ED001.vlc.ucasip.es
[192.168.211.239] mttouca2.vlc.ucasip.es
